연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.0021886155009269714
4,01-03 01:00,공주,0.011085934937000275
4,01-03 02:00,공주,0.011290594935417175
4,01-03 03:00,공주,0.022111546248197556
4,01-03 04:00,공주,0.034881241619586945
4,01-03 05:00,공주,0.03906353563070297
4,01-03 06:00,공주,0.04527878016233444
4,01-03 07:00,공주,0.053772762417793274
4,01-03 08:00,공주,0.05950796604156494
4,01-03 09:00,공주,0.06070614606142044
4,01-03 10:00,공주,0.062132321298122406
4,01-03 11:00,공주,0.05184395611286163
4,01-03 12:00,공주,0.03301219642162323
4,01-03 13:00,공주,0.03388715535402298
4,01-03 14:00,공주,0.03156062588095665
4,01-03 15:00,공주,0.022336818277835846
4,01-03 16:00,공주,0.021366797387599945
4,01-03 17:00,공주,0.023071743547916412
4,01-03 18:00,공주,0.022268690168857574
4,01-03 19:00,공주,0.022062581032514572
4,01-03 20:00,공주,0.02236609160900116
4,01-03 21:00,공주,0.023174893110990524
4,01-03 22:00,공주,0.027551446110010147
4,01-03 23:00,공주,0.030776143074035645
4,01-04 00:00,공주,0.052822232246398926
4,01-04 01:00,공주,0.053915537893772125
4,01-04 02:00,공주,0.0488179549574852
4,01-04 03:00,공주,0.05150669813156128
4,01-04 04:00,공주,0.05326123535633087
4,01-04 05:00,공주,0.041042931377887726
4,01-04 06:00,공주,0.024122923612594604
4,01-04 07:00,공주,0.010144241154193878
4,01-04 08:00,공주,0.003053046762943268
4,01-04 09:00,공주,0.0014196932315826416
4,01-04 10:00,공주,0.005010388791561127
4,01-04 11:00,공주,0.0
4,01-04 12:00,공주,0.0
4,01-04 13:00,공주,0.0
4,01-04 14:00,공주,0.0
4,01-04 15:00,공주,0.0
4,01-04 16:00,공주,0.0
4,01-04 17:00,공주,0.0
4,01-04 18:00,공주,0.0
4,01-04 19:00,공주,0.0
4,01-04 20:00,공주,0.0
4,01-04 21:00,공주,0.0
4,01-04 22:00,공주,0.0
4,01-04 23:00,공주,0.0
4,01-05 00:00,공주,0.0
4,01-05 01:00,공주,0.0
4,01-05 02:00,공주,9.658560156822205e-05
4,01-05 03:00,공주,0.005498319864273071
4,01-05 04:00,공주,0.0039641372859478
4,01-05 05:00,공주,0.0
4,01-05 06:00,공주,0.0
4,01-05 07:00,공주,0.0
4,01-05 08:00,공주,0.0
4,01-05 09:00,공주,0.0
4,01-05 10:00,공주,0.0
4,01-05 11:00,공주,0.0
4,01-05 12:00,공주,0.0
4,01-05 13:00,공주,0.0
4,01-05 14:00,공주,0.0
4,01-05 15:00,공주,0.0
4,01-05 16:00,공주,0.004954125732183456
4,01-05 17:00,공주,0.021839745342731476
4,01-05 18:00,공주,0.04450543224811554
4,01-05 19:00,공주,0.04616304486989975
4,01-05 20:00,공주,0.03890327364206314
4,01-05 21:00,공주,0.03499695658683777
4,01-05 22:00,공주,0.03497673571109772
4,01-05 23:00,공주,0.0
4,01-08 00:00,공주,0.022482894361019135
4,01-08 01:00,공주,0.0198613703250885
4,01-08 02:00,공주,0.023806430399417877
